id,type,title,channel_or_publisher,url,published,discovered,status,priority,domains,notes
yt-QnBXoVkygA0,video,"You Cannot Wish for Strong Character and an Easy Life",NA,https://www.youtube.com/watch?v=QnBXoVkygA0,NA,2026-07-08,L0-discovered,3,,views=399
yt-wNDxmPzeTf4,video,"How to Break a Tie With Your Business Partner",NA,https://www.youtube.com/watch?v=wNDxmPzeTf4,NA,2026-07-08,L0-discovered,3,,views=12000
yt-wH5hs4-KCXM,video,"Make the Calls Whether You Love It or Hate It",NA,https://www.youtube.com/watch?v=wH5hs4-KCXM,NA,2026-07-08,L0-discovered,3,,views=22000
yt-MRU0JSF2sOw,video,"How to Scale From $4M to $400M With Content You Already Have",NA,https://www.youtube.com/watch?v=MRU0JSF2sOw,NA,2026-07-08,L0-discovered,3,,views=88000
yt-Tesl_JmtMGk,video,"Your Kids Disappear in 30 Days Unless You Hire 20 Lawyers",NA,https://www.youtube.com/watch?v=Tesl_JmtMGk,NA,2026-07-08,L0-discovered,3,,views=29000
yt-Z1_rNfqpZi0,video,"You're Asking Too Much From One Thing",NA,https://www.youtube.com/watch?v=Z1_rNfqpZi0,NA,2026-07-08,L0-discovered,3,,views=24000
yt-nvF65h-e_c0,video,"'I Barely Post on Social Media...'",NA,https://www.youtube.com/watch?v=nvF65h-e_c0,NA,2026-07-08,L0-discovered,3,,views=72000
yt-beqAN1CZ79I,video,"Someone Will Save You, But It's You",NA,https://www.youtube.com/watch?v=beqAN1CZ79I,NA,2026-07-08,L0-discovered,3,,views=26000
yt-InBE1FdhZPU,video,"If Your Business Needs an All-Star to Work, the Model Is Broken",NA,https://www.youtube.com/watch?v=InBE1FdhZPU,NA,2026-07-08,L0-discovered,3,,views=42000
yt-I9g8CoR5GjA,video,"Whoever You Blame Is Who You Give Power To",NA,https://www.youtube.com/watch?v=I9g8CoR5GjA,NA,2026-07-08,L0-discovered,3,,views=31000
yt-5_8RIYrvDf4,video,"If the Truth Isn't Compelling, Fix That",NA,https://www.youtube.com/watch?v=5_8RIYrvDf4,NA,2026-07-08,L0-discovered,3,,views=16000
yt-m5qYJeYzusg,video,"Divorce Outcome From Winning",NA,https://www.youtube.com/watch?v=m5qYJeYzusg,NA,2026-07-08,L0-discovered,3,,views=22000
yt-HXQzdzYOPxQ,video,"'I Keep Losing on Price'",NA,https://www.youtube.com/watch?v=HXQzdzYOPxQ,NA,2026-07-08,L0-discovered,3,,views=25000
yt-BUiOSMTEI-I,video,"The Front End Offer That Takes You From $99 to $299/Month",NA,https://www.youtube.com/watch?v=BUiOSMTEI-I,NA,2026-07-08,L0-discovered,3,,views=43000
yt-ZMs_Z2PKIBU,video,"I Don't Have Hobbies. This Is What I Do Instead.",NA,https://www.youtube.com/watch?v=ZMs_Z2PKIBU,NA,2026-07-08,L0-discovered,3,,views=26000
yt-GUubmrIgbXI,video,"You're at Level 1 of 9 Levels",NA,https://www.youtube.com/watch?v=GUubmrIgbXI,NA,2026-07-08,L0-discovered,3,,views=20000
yt-I6OCWkUeQBI,video,"You Killed the Premium Offer Too Early",NA,https://www.youtube.com/watch?v=I6OCWkUeQBI,NA,2026-07-08,L0-discovered,3,,views=19000
yt-ZbsnGqDu980,video,"Why I Don't Have Hobbies",NA,https://www.youtube.com/watch?v=ZbsnGqDu980,NA,2026-07-08,L0-discovered,3,,views=56000
yt-BidGh2tv-Ts,video,"You're at Level 1 of 9 � They Don't Know That",NA,https://www.youtube.com/watch?v=BidGh2tv-Ts,NA,2026-07-08,L0-discovered,3,,views=120000
yt-OdLzc0xD7OU,video,"'I Take Bad Jobs Out of Desperation...'",NA,https://www.youtube.com/watch?v=OdLzc0xD7OU,NA,2026-07-08,L0-discovered,3,,views=28000
yt-1uks3pdw1Wo,video,"There's Nothing More Expensive Than Underselling a Rich Customer",NA,https://www.youtube.com/watch?v=1uks3pdw1Wo,NA,2026-07-08,L0-discovered,3,,views=32000
