"id","view_count","duration_s","upload_date","title","captured"
"yt-RdAKXJlMIZM","4487238","3106","20230805","How to get SO rich you question the meaning of making money","2026-07-11"
"yt-VBoRLJimVzc","4023748","3821","20231108","If I Wanted to Become a Millionaire In 2024, This is What I'd Do [FULL BLUEPRINT]","2026-07-11"
"yt-KhFlD54nQrY","3584432","5400","20240511","13 Years Of Brutally Honest Business Advice in 90 Mins","2026-07-11"
"yt-KYqEK_T_5M4","3122211","1058","20221228","Get RICH in the A.I. Revolution (2023)","2026-07-11"
"yt-YFA8AS5Cu2w","3095323","923","20230624","watch this if you're tired of being broke","2026-07-11"
"yt-oRMG_HpOAN4","2929170","4782","20240809","13 Years of No BS Business Advice in 79 Mins","2026-07-11"
"yt-aFoMYz_jWcs","2733042","4203","20240726","How To Actually Get Rich In Your 20s","2026-07-11"
"yt-qxQIcDrre1E","2358020","3217","20211231","Watch these 55 minutes if you want to be a millionaire in 2022..","2026-07-11"
"yt-MNll1BaskLA","2330716","2845","20231209","How to Win (At ANYTHING)","2026-07-11"
"yt-dZ7xeVCYC5M","2298259","430","20220809","How I Would Invest $1000 If I Were In My 20s","2026-07-11"
"yt-7ITff1fIbSc","2098089","413","20220830","How to Grow an Audience if You Have 0 Followers","2026-07-11"
"yt-ymFWgFiKUvM","2010475","1625","20241214","If You Have Less Than $10,000 Saved. Please Watch This Video...","2026-07-11"
"yt-cq8GyLrEuAk","1946771","1266","20221019","14 Life Lessons I Wish I Knew Earlier","2026-07-11"
"yt-6KqndZuN_Yk","1892062","5545","20241223","If you want 2026 to be the best year of your life. Please watch this video�","2026-07-11"
"yt-9ySuYdJ0H4s","1885752","1319","20220422","REPROGRAM your mind to be rich in 22 minutes....","2026-07-11"
"yt-nIk3DedjxJM","1859000","1483","20240626","""I'm Broke, What Business Do I Start?""","2026-07-11"
"yt-jvXOOddDg_s","1803308","3965","20230913","How to Get Rich [Full Interview with Dave Ramsey]","2026-07-11"
"yt-Nh8Oc7ERdIU","1795839","3386","20230705","How to Get Ahead of 99% of People","2026-07-11"
"yt-jiCGLDhUCHY","1703519","1628","20240214","If I Were Single and Starting Over, This Is What I Would Do","2026-07-11"
"yt-k-3PoOT4vOM","1682836","2453","20241205","How to Make Money So Fast It Feels ILLEGAL","2026-07-11"
"yt-uWdIgftpvBI","1656251","1105","20251206","If I Started A Business in 2026, I'd Do This","2026-07-11"
"yt-GIRkQQHzsxI","1634266","2217","20240612","You�re Wasting 80% of Your Time (here�s how to fix it)","2026-07-11"
"yt-HxEQCHpZzHk","1583623","3788","20250102","How to Grow Your Business SO Fast in 2026 It Feels ILLEGAL","2026-07-11"
"yt-MzAIP_WJ-jE","1580434","2180","20250408","Brutally Honest Truths That Give You an Unfair Advantage in Life","2026-07-11"
"yt-UDBkiBnMrHs","1550150","1573","20251212","If you�re ambitious but inconsistent, please watch this","2026-07-11"
"yt-VQM3DrnVTcs","1531214","2273","20240420","$100M CEO Explains How to Build A Brand in 2024","2026-07-11"
"yt-ln24y0FPJHo","1507440","1499","20231018","Brutally Honest Advice to My Younger Poorer Self","2026-07-11"
"yt-oys_fv25SYM","1492849","2864","20240403","Advice I Wish Someone Gave Me When I Was Broke","2026-07-11"
"yt-jfW6gL6hKhk","1470475","945","20260304","If I Wanted to Make My First $100K in 2026, I�d Do This","2026-07-11"
"yt-w7g08dVTwaE","1464994","613","20230802","Watch this to get your first 5 customers","2026-07-11"
"yt-NcD2t9qt-fM","1459060","4998","20220503","The Best SALES TRAINING On The Internet","2026-07-11"
"yt-AN2KpRBsmRY","1413005","4703","20241016","If I Wanted To Become a Millionaire in 2026, This Is What I'd Do [FULL BLUEPRINT]","2026-07-11"
"yt-ub1D6RQocRU","1412307","2143","20250628","If you're ambitious and in your 20s or 30s, please watch this.","2026-07-11"
"yt-hGX_z5rXRlU","1375716","2247","20240103","The Alex Hormozi Cookbook [REVEALED]","2026-07-11"
"yt-reisEL_D7xc","1368749","5123","20240531","13 Years of Marketing Advice in 85 Mins","2026-07-11"
"yt-lRyGIzW9d9k","1301188","669","20220207","The anti-routine...[what billionaires use to win]","2026-07-11"
"yt-RVbvhPGFi6E","1265726","1517","20241009","After Closing 4000+ Sales, I Discovered a New Method to Close Deals Faster","2026-07-11"
"yt-JE2_7elAcxM","1233419","16999","20240731","How to Sell Better than 99% Of People (4 HOUR ULTIMATE GUIDE)","2026-07-11"
"yt-nxL4ZfVqKLI","1208615","1751","20240228","Seriously, watch this before you go to college","2026-07-11"
"yt-JfbtySq6_B4","1155494","434","20210316","Sell Anything To Anyone With This Unusual Method","2026-07-11"
"yt-xZ8d9g6BcKM","1136845","679","20230111","Building a Frozen Yogurt Store in 11 Minutes","2026-07-11"
"yt-StVqS0jD7Ls","1133008","9241","20250104","The Ultimate Sales Training for 2026 [Full Course]","2026-07-11"
"yt-0mqqbuM9sAk","1128769","842","20230222","I Built 4 Businesses In A Row To Show It's Not Luck","2026-07-11"
"yt-KNl83INePXI","1124525","788","20210406","""I'm Broke... What Should I Do?""","2026-07-11"
"yt-oDK4g5na4Jw","1118325","3867","20241127","No BS Advice to Get Rich Like the 1%","2026-07-11"
"yt-CGSd00h-6zI","1114474","498","20221214","The Best Student Side Hustle in 2026","2026-07-11"
"yt-q6SdmgIji30","1094807","529","20221221","14 Money Mistakes to AVOID in Your 20's","2026-07-11"
"yt-IFElGv5ZmRM","1085789","2587","20250618","You'll Find This Video When You Need it Most","2026-07-11"
"yt-7sLXhCDRaV8","1081517","447","20221023","10 Different Ways To Break Down Making $1 Million","2026-07-11"
"yt-TFxT3G5jwtU","1059473","1436","20241113","It's Actually Pretty Easy to Get Ahead of 99% of People","2026-07-11"
"yt-0lMn_-EXyhQ","1037479","1419","20251028","If You're in Your 20s or 30s, Here's How to Win (at Anything)","2026-07-11"
"yt-lJF__n_34ew","1015311","918","20230628","My 12 Hour Work Day (in 15 Minutes) [Ep 003]","2026-07-11"
"yt-oi7bnS8uyJM","1014531","1874","20220121","30 Minutes of sales training that will explode your business in 2022","2026-07-11"
"yt-oZ-H_TjSzok","1003999","2755","20240904","No BS Advice to Get Rich in the Next 10 Years","2026-07-11"
"yt-gD0X-PLax5I","990710","1982","20240702","You're Not Behind: My System for Outworking Everyone","2026-07-11"
"yt-vhOV_Od0A3M","953117","27044","20251231","If you want 2026 to be the best year of your life, please watch this video...","2026-07-11"
"yt-DiQ3N8F1Hl8","951679","1658","20240113","Brutally Honest Advice to my Poorer Younger Self","2026-07-11"
"yt-hCgr7jT7JLA","940702","1202","20231227","Answering Juicy Questions About Our Relationship","2026-07-11"
"yt-ErWpi_91b70","938045","608","20211108","Why daily routines make you poor & fragile [trigger warning]","2026-07-11"
"yt-Uki3IUkUu7Q","935735","1832","20240623","You Get Rich By Not Focusing On Getting Rich","2026-07-11"
"yt-pt50QF6al8g","907903","1516","20240131","Brutally Honest Advice to Build Your Confidence","2026-07-11"
"yt-i7bLRKwKSms","905877","1621","20250612","How I Would Build a Business in 2026 (If I Had to Start Over)","2026-07-11"
"yt-bx48qPlaGvE","879430","491","20220918","My Best Sales Tactic (to Make a TON of Money)","2026-07-11"
"yt-ueJg14gQLuc","868181","578","20230412","The SEASON OF NO (What it Takes to Win)","2026-07-11"
"yt-Day0yToqeco","864194","867","20221207","Why Looking Poor is actually Smart","2026-07-11"
"yt-prj1bnTAM8A","856421","2242","20250726","Your biggest advantage is no one knows who you are","2026-07-11"
"yt-3Ju1I37jWUM","837191","1551","20240522","You're Not Behind: My System for Outlearning Everyone","2026-07-11"
"yt-dMZ-n2KSlxE","814872","1508","20251018","My Actual Social Media Strategy For 2026","2026-07-11"
"yt-4GjwtnA76ig","805574","2633","20230920","This video will make you more money than anything else on the Internet","2026-07-11"
